sku,image,gallery,status,color,fynd_uid
5045558476841,5045558476841_1.jpg,"5045558476841_1.jpg,5045558476841_2.jpg,5045558476841_3.jpg,5045558476841_4.jpg,5045558476841_5.jpg,5045558476841_6.jpg,5045558476841_7.jpg,5045558476841_8.jpg,5045558476841_9.jpg,5045558476841_11.jpg",active,Black,7584349
5045626744407,5045626744407_1.jpg,"5045626744407_1.jpg,5045626744407_3.jpg,5045626744407_4.jpg,5045626744407_5.jpg,5045626744407_6.jpg,5045626744407_7.jpg,5045626744407_8.jpg,5045626744407_9.jpg,5045626744407_11.jpg",active,Brown,8061496
5045627439722,5045627439722_1.jpg,"5045627439722_1.jpg,5045627439722_2.jpg,5045627439722_3.jpg,5045627439722_4.jpg,5045627439722_5.jpg,5045627439722_6.jpg,5045627439722_7.jpg,5045627439722_8.jpg,5045627439722_9.jpg,5045627439722_10.jpg,5045627439722_11.jpg",active,Pink,8061532
5045625822519,5045625822519_1.jpg,"5045625822519_1.jpg,5045625822519_2.jpg,5045625822519_3.jpg,5045625822519_4.jpg,5045625822519_5.jpg,5045625822519_6.jpg,5045625822519_7.jpg,5045625822519_8.jpg,5045625822519_11.jpg",inactive,Black,8061503
5045624601849,5045624601849_1.jpg,"5045624601849_1.jpg,5045624601849_2.jpg,5045624601849_3.jpg,5045624601849_4.jpg,5045624601849_5.jpg,5045624601849_6.jpg,5045624601849_7.jpg,5045624601849_8.jpg,5045624601849_9.jpg,5045624601849_10.jpg,5045624601849_11.jpg",active,Brown,8061490
5045627442098,5045627442098_1.jpg,"5045627442098_1.jpg,5045627442098_2.jpg,5045627442098_3.jpg,5045627442098_4.jpg,5045627442098_5.jpg,5045627442098_6.jpg,5045627442098_7.jpg,5045627442098_8.jpg,5045627442098_11.jpg",active,Brown,8061584
5045558679716,5045558679716_1.jpg,"5045558679716_1.jpg,5045558679716_2.jpg,5045558679716_3.jpg,5045558679716_4.jpg,5045558679716_5.jpg,5045558679716_6.jpg,5045558679716_7.jpg,5045558679716_8.jpg,5045558679716_9.jpg,5045558679716_10.jpg,5045558679716_11.jpg",active,Beige,8061554
5045625149982,5045625149982_1.jpg,"5045625149982_1.jpg,5045625149982_2.jpg,5045625149982_3.jpg,5045625149982_4.jpg,5045625149982_5.jpg,5045625149982_6.jpg,5045625149982_7.jpg,5045625149982_8.jpg,5045625149982_11.jpg",active,Brown,8061616
5045626033952,5045626033952_1.jpg,"5045626033952_1.jpg,5045626033952_2.jpg,5045626033952_3.jpg,5045626033952_4.jpg,5045626033952_5.jpg,5045626033952_6.jpg,5045626033952_7.jpg,5045626033952_8.jpg,5045626033952_9.jpg,5045626033952_11.jpg",active,Black,8061637
5045621466977,5045621466977_1.jpg,"5045621466977_1.jpg,5045621466977_2.jpg,5045621466977_3.jpg,5045621466977_4.jpg,5045621466977_5.jpg,5045621466977_6.jpg,5045621466977_7.jpg,5045621466977_8.jpg,5045621466977_9.jpg,5045621466977_11.jpg",active,Brown,7854973
